title,director,cast,country,subgenre
Crazy Old Lady,Martín Mauregui,"Carmen Maura , Daniel Hendler","Spain, Argentina, United States",Psychological Horror Thriller
Dangerous Animals,Sean Byrne,"Hassie Harrison , Josh Heuston , Rob Carlton , Ella Newton, Liam Greinke, Jai Courtney","Australia, Canada, United States",Survival horror
Dark Nuns,Kwon Hyeok-jae,"Song Hye-kyo , Jeon Yeo-been , Lee Jin-wook , Moon Woo-jin",South Korea,Supernatural thriller
Death of a Unicorn,Alex Scharfman,"Paul Rudd , Jenna Ortega , Richard E. Grant , Téa Leoni , Will Poulter",United States,Comedy horror
Death Whisperer 3,"Narit Yuvaboon, Thanadet Pradit","Nadech Kugimiya , Denise Jelilcha Kapuan, Natcha Nina Jessica Padovan, Kajbhandit Jaidee, Peerakrit Pacharabunyakiat, Ong-art Jeamjaroenpornkul, Pramet Noi-am, Arisara Wongchalee",Thailand,Supernatural HorrorK
Deathstalker,Steven Kostanski,"Daniel Bernhardt , Patton Oswalt , Christina Orjalo, Paul Lazenby, Nina Bergman","Canada, United States",Sword and Sorcery Horror
Deemak,Rafay Rashdi,"Faysal Qureshi , Sonya Hussain , Sameena Peerzada , Bushra Ansari , Javed Sheikh",Pakistan,Horror Family Drama
Demon Slayer: Kimetsu no Yaiba – The Movie: Infinity Castle,Haruo Sotozaki,"Natsuki Hanae , Akari Kitō , Yoshitsugu Matsuoka , Hiro Shimono , Saori Hayami",Japan,Animated Dark fantasy Action
Demon Spawn,Rob Roy,"Aaron Crocker, David Patrick Wittle, Michelle Middleton, Carrie Moore",United States,Horror
Descendent,Peter Cilella,"Ross Marquand , Sarah Bolger",United States,Science Fiction Thriller
Destroy This Tape,"Carter Folkes, Sean McGarry","Hannah Brennen, Eero McNeilly",Canada,Horror Thriller
Die'ced: Reloaded,Jeremy Rudd,"Eden Campbell, Jason Brooks, Nigel Vonas",United States,Slasher
Diés Iraé,Rahul Sadasivan,"Pranav Mohanlal,Gibin Gopinath",India,"Horror, Thriller"
Disforia,Christopher Cartagena González,"Claudia Salas , Fariba Sheikhan, Noah Casas, Eloy Azorín , Kike Guaza",Spain,"Horror, Thriller"
Dollhouse,Shinobu Yaguchi,"Kōji Seto , Tetsushi Tanaka , Ken Yasuda , Jun Fubuki , Totoka Honda, Aoi Ikemura, Masami Nagasawa",Japan,Supernatural Horror
Dolly,Rod Blackhurst,"Fabianne Therese , Russ Tiller, Michalina Scorzelli, Kate Cobb, Ethan Suplee , Seann William Scott , Max the Impaler",United States,Horror
Dorothea,Chad Ferrin,"Susan Priver, Pat McNeely, Ezra Buzzington",United States,Crime Horror
Dracula,Luc Besson,"Caleb Landry Jones , Christoph Waltz , Matilda De Angelis","France, United Kingdom",Gothic Horror
Drop,Christopher Landon,"Meghann Fahy , Brandon Sklenar , Jeffery Self , Gabrielle Ryan Spring, Violett Beane , Jacob Robinson, Ed Weeks",United States,Horror thriller
Exit 8,Genki Kawamura,"Kazunari Ninomiya , Yamato Kochi , Naru Asanuma, Kotone Hanase, Nana Komatsu",Japan,Psychological horror
